Category,Command,Status,Resolve,Premiere,Priority,Description
Basic Editing,Insert,Implemented,Y,Y,,Standard 3-point edit
Basic Editing,Overwrite,Implemented,Y,Y,,Standard 3-point edit
Basic Editing,Cut,Implemented,Y,Y,,Mark-based and selection-based
Basic Editing,Copy,Implemented,Y,Y,,Mark-based and selection-based
Basic Editing,Paste,Implemented,Y,Y,,Paste at playhead (overwrite)
Basic Editing,Blade (Split),Implemented,Y,Y,,Cmd+B split at playhead
Basic Editing,LiftRange,Implemented,Y,Y,,Mark-based lift
Basic Editing,ExtractRange,Implemented,Y,Y,,Mark-based extract
Basic Editing,DeleteClip,Implemented,Y,Y,,Delete clip
Basic Editing,RippleDelete,Implemented,Y,Y,,Delete and close gap
Basic Editing,RippleDeleteSelection,Implemented,Y,Y,,Delete selected clips with ripple
Basic Editing,InsertGap,Implemented,Y,Y,,Insert gap at playhead
Basic Editing,Replace Edit,Missing,Y,Y,Tier 1,Replace clip under playhead with source matching around playhead
Basic Editing,Place on Top / Superimpose,Missing,Y,Y,Tier 1,Source to next available track above
Basic Editing,Append to End,Missing,Y,Y,Tier 1,Add source after last clip on target track
Basic Editing,Paste Insert,Missing,Y,Y,Tier 1,Paste at playhead with ripple
Basic Editing,Ripple Overwrite,Missing,Y,,Tier 2,Overwrite + ripple the duration difference
Trimming,TrimHead,Implemented,Y,Y,,Trim clip start to playhead
Trimming,TrimTail,Implemented,Y,Y,,Trim clip end to playhead
Trimming,ExtendEdit,Implemented,Y,Y,,Extend edge to playhead
Trimming,RippleEdit,Implemented,Y,Y,,Drag-based ripple edit
Trimming,BatchRippleEdit,Implemented,Y,Y,,Batch ripple edits
Trimming,Nudge,Implemented,Y,Y,,Move clip(s) by delta
Trimming,Roll Trim,Missing,Y,Y,Tier 1,Move edit point between adjacent clips total duration unchanged
Trimming,Slip,Missing,Y,Y,Tier 1,Shift source window timeline position unchanged
Trimming,Slide,Missing,Y,Y,Tier 1,Move clip neighbors absorb the change
Trimming,Dynamic Trim (JKL),Missing,Y,,Tier 2,Trim while playing — Resolve signature feature
Trimming,Nudge Trim,Missing,Y,Y,Tier 1,Move selected edit point by N frames
Trimming,Join Through Edit,Missing,Y,,Tier 2,Remove edit point between two clips from same source
Trimming,Razor All Tracks,Missing,Y,Y,Tier 3,Blade across all tracks at playhead
Selection,SelectAll,Implemented,Y,Y,,Select all clips/items
Selection,DeselectAll,Implemented,Y,Y,,Clear selection
Selection,SelectClips,Implemented,Y,Y,,Timeline clip selection
Selection,SelectEdges,Implemented,Y,Y,,Edge selection for trimming
Selection,SelectGaps,Implemented,Y,Y,,Gap selection
Selection,SelectRectangle,Implemented,Y,Y,,Rectangular drag selection
Selection,SelectBrowserItems,Implemented,Y,Y,,Browser item selection
Selection,Select All Forward on Track,Missing,Y,Y,Tier 1,Select clip + everything to its right
Selection,Select All Backward on Track,Missing,Y,Y,Tier 1,Select clip + everything to its left
Selection,Select All Forward All Tracks,Missing,Y,Y,Tier 1,Everything right of playhead all tracks
Selection,Select All Backward All Tracks,Missing,Y,Y,Tier 1,Everything left of playhead all tracks
Selection,Select Clips at Playhead,Missing,Y,,Tier 2,All clips intersecting playhead
Selection,Select In to Out,Missing,Y,Y,Tier 2,All clips within mark range
Selection,Linked Selection toggle,Missing,Y,Y,Tier 1,Global: selecting video auto-selects linked audio
Marks,SetMarkIn,Implemented,Y,Y,,Set in point at playhead
Marks,SetMarkOut,Implemented,Y,Y,,Set out point at playhead
Marks,ClearMarkIn,Implemented,Y,Y,,Clear in point
Marks,ClearMarkOut,Implemented,Y,Y,,Clear out point
Marks,ClearMarks,Implemented,Y,Y,,Clear both marks
Marks,MarkClipExtent,Implemented,Y,Y,,Mark to clip boundaries (X key)
Marks,GoToMarkIn,Implemented,Y,Y,,Jump to in point
Marks,GoToMarkOut,Implemented,Y,Y,,Jump to out point
Marks,Mark Selection,Missing,Y,Y,Tier 2,Set in/out to span of selected clips
Marks,Mark to End,Missing,Y,,Tier 2,Set in at playhead out at timeline end
Marks,Mark from Start,Missing,Y,,Tier 2,Set in at timeline start out at playhead
Marks,Add Marker,Missing,Y,Y,Tier 2,Add marker at playhead — whole subsystem missing
Marks,Modify Marker,Missing,Y,Y,Tier 2,Edit marker name/color/duration/notes
Marks,Delete Marker,Missing,Y,Y,Tier 2,Remove marker
Marks,Delete All Markers,Missing,Y,Y,Tier 2,Clear all markers
Navigation,GoToNextEdit,Implemented,Y,Y,,Jump to next edit point
Navigation,GoToPrevEdit,Implemented,Y,Y,,Jump to previous edit point
Navigation,GoToStart,Implemented,Y,Y,,Go to frame 0
Navigation,GoToEnd,Implemented,Y,Y,,Go to last frame
Navigation,GoToTimecode,Implemented,Y,Y,,TC dialog
Navigation,MovePlayhead,Implemented,Y,Y,,Move by duration literal
